Trivia_Category,Total_Num_of_Questions,Total_Num_of_Pending_Questions,Total_Num_of_Verified_Questions,Total_Num_of_Rejected_Questions
General Knowledge,4017,1908,305,1804
Entertainment: Books,441,257,97,87
Entertainment: Film,1017,654,247,116
Entertainment: Music,1080,567,364,149
Entertainment: Musicals & Theatres,122,74,31,17
Entertainment: Television,658,396,170,92
Entertainment: Video Games,3458,1796,960,702
Entertainment: Board Games,213,118,59,36
Science & Nature,763,404,229,130
Science: Computers,651,283,159,209
Science: Mathematics,316,122,53,141
Mythology,162,85,57,20
Sports,703,432,132,139
Geography,698,320,275,103
History,846,390,310,147
Politics,230,124,59,47
Art,159,100,29,30
Celebrities,225,131,52,42
Animals,273,159,75,39
Vehicles,265,143,71,51
Entertainment: Comics,165,59,67,39
Science: Gadgets,86,45,24,17
Entertainment: Japanese Anime & Manga,658,312,184,162
Entertainment: Cartoon & Animations,291,163,89,39
